Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference
Bi1.00Sb1.00Se0.92Br0.08,300,-110,27766,0.63,0.000335969,0.159985048,10.1002/adfm.201806558
Bi1.00Sb1.00Se0.94Br0.06,300,-112,26117,0.64,0.000327612,0.15356796,10.1002/adfm.201806558
Bi1.00Sb1.00Se0.96Br0.04,300,-100,21000,0.65,0.00021,0.12,10.1002/adfm.201806558
Bi1.00Sb1.00Se0.98Br0.02,300,-109,21915,0.68,0.000260372,0.12,10.1002/adfm.201806558
Cu2.02Cd0.97Sn1.00Se4.00,300,173,5362,2.673,0.000160479,0.018011145,10.1002/adma.200900409
Cu2.05Cd0.95Sn1.00Se4.00,300,142.2,10750,2.338,0.000217374,0.027892305,10.1002/adma.200900409
Cu2.10Cd0.90Sn1.00Se4.00,300,129.5,20517,2.05,0.000344075,0.050352471,10.1002/adma.200900409
Cu2.00Cd1.00Sn1.00Se4.00,300,235.7,2431,2.776,0.000135053,0.014595061,10.1002/adma.200900409
Cu2.00Se1.00,300,92,99586,0.88,0.000842896,0.287350876,10.1002/adma.201302660
Cu2.00Se0.92I0.08,300,144.7,15720,0.4739,0.000329147,0.208364702,10.1002/adma.201302660
Cu2.00Se0.96I0.04,300,84.7,64438,0.74,0.000462284,0.187412437,10.1002/adma.201302660
Yb1.00Si2.00,300,-52.6,747000,8.6,0.00206677,0.072096618,10.1002/pssr.201700372
Sr0.11Ba0.18Co4.00Sb12.09,300,-96,401852,4.64,0.003703468,0.239448364,10.1007/s00339-010-5711-3
Sr0.16Yb0.03Co4.00Sb11.82,300,-116,296818,4.05,0.003993983,0.295850593,10.1007/s00339-010-5711-3
Sr0.21Co4.00Sb12.25,300,-126,240000,4.87,0.00381024,0.234717043,10.1007/s00339-010-5711-3
Sr0.21Yb0.03Co4.00Sb12.12,300,-109,342273,4.23,0.004066546,0.288407483,10.1007/s00339-010-5711-3
Ca3.00Co3.70Ti0.30O9.00,300,178.2,4300,2.3,0.000136548,0.017810548,10.1016/j.jallcom.2010.04.055
Ca3.00Co3.80Ti0.20O9.00,300,149,4967,2.49,0.000110272,0.013285827,10.1016/j.jallcom.2010.04.055
Ca3.00Co3.90Ti0.10O9.00,300,131,5623,2.59,9.65E-05,0.011177178,10.1016/j.jallcom.2010.04.055
Ca3.00Co4.00O9.00,300,122.3,6493,2.873,9.71E-05,0.010141074,10.1016/j.jallcom.2010.04.055
Cu3.00Sb0.85Ge0.15S4.00,300,114.4,51194,2.183,0.000669994,0.092074344,10.1021/acs.jpcc.6b09379
