,Formula,temperature(K),seebeck_coefficient(μV/K),electrical_conductivity(S/m),thermal_conductivity(W/mK),power_factor(W/mK2),ZT,reference,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
0,Bi1.00Sb1.00Se0.92Br0.08,300.0,-110.0,27766.0,0.63,0.000335969,0.159985048,10.1002/adfm.201806558,Bi1 Sb1 Se0.92 Br0.08,34.0,83.0,49.0,56.02666666666667,17.982222222222223,51.0,85.0,95.0,10.0,86.82666666666667,1.7688888888888894,85.0,78.96,208.9804,130.0204,136.59197333333333,48.25895111111111,121.76,265.8,903.78,637.98,641.3079999999999,174.98133333333328,544.4,15.0,17.0,2.0,15.36,0.47999999999999976,15.0,4.0,6.0,2.0,5.0,0.6666666666666666,5.0,120.0,148.0,28.0,135.66666666666666,10.444444444444448,139.0,2.02,2.96,0.94,2.2176,0.2434666666666667,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,3.36,0.4799999999999999,3.0,10.0,10.0,0.0,10.000000000000002,1.7763568394002505e-15,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,15.0,29.0,14.0,20.026666666666667,5.982222222222223,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.64,0.4799999999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.64,0.4799999999999999,3.0,25.92,32.95,7.030000000000001,30.23826666666667,2.6889777777777764,31.56,0.0,1.457,1.457,0.28388,0.3785066666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,65.33333333333333,67.1111111111111,12.0
1,Bi1.00Sb1.00Se0.94Br0.06,300.0,-112.0,26117.0,0.64,0.000327612,0.15356796,10.1002/adfm.201806558,Bi1 Sb1 Se0.94 Br0.06,34.0,83.0,49.0,56.02,17.986666666666668,51.0,85.0,95.0,10.0,86.78666666666668,1.7155555555555584,85.0,78.96,208.9804,130.0204,136.58568,48.263146666666664,121.76,265.8,903.78,637.98,642.8293333333332,173.96711111111108,544.4,15.0,17.0,2.0,15.353333333333333,0.4711111111111111,15.0,4.0,6.0,2.0,5.0,0.6666666666666666,5.0,120.0,148.0,28.0,135.66666666666666,10.444444444444448,139.0,2.02,2.96,0.94,2.214866666666667,0.2398222222222223,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,3.3533333333333335,0.4711111111111111,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,15.0,29.0,14.0,20.02,5.986666666666667,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6466666666666665,0.4711111111111111,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6466666666666665,0.4711111111111111,3.0,25.92,32.95,7.030000000000001,30.214533333333335,2.7206222222222216,31.56,0.0,1.457,1.457,0.2794933333333333,0.3726577777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,65.0,67.33333333333333,12.0
2,Bi1.00Sb1.00Se0.96Br0.04,300.0,-100.0,21000.0,0.65,0.00021,0.12,10.1002/adfm.201806558,Bi1 Sb1 Se0.96 Br0.04,34.0,83.0,49.0,56.01333333333333,17.99111111111111,51.0,85.0,95.0,10.0,86.74666666666667,1.6622222222222234,85.0,78.96,208.9804,130.0204,136.5793866666667,48.26734222222223,121.76,265.8,903.78,637.98,644.3506666666666,172.95288888888888,544.4,15.0,17.0,2.0,15.346666666666666,0.4622222222222219,15.0,4.0,6.0,2.0,5.0,0.6666666666666666,5.0,120.0,148.0,28.0,135.66666666666666,10.444444444444448,139.0,2.02,2.96,0.94,2.2121333333333335,0.23617777777777782,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,3.3466666666666662,0.4622222222222221,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,15.0,29.0,14.0,20.013333333333332,5.991111111111111,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6533333333333333,0.46222222222222226,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6533333333333333,0.46222222222222226,3.0,25.92,32.95,7.030000000000001,30.1908,2.752266666666667,31.56,0.0,1.457,1.457,0.27510666666666667,0.3668088888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,64.66666666666667,67.55555555555556,12.0
3,Bi1.00Sb1.00Se0.98Br0.02,300.0,-109.0,21915.0,0.68,0.000260372,0.12,10.1002/adfm.201806558,Bi1 Sb1 Se0.98 Br0.02,34.0,83.0,49.0,56.00666666666666,17.99555555555555,51.0,85.0,95.0,10.0,86.70666666666666,1.608888888888888,85.0,78.96,208.9804,130.0204,136.57309333333333,48.27153777777778,121.76,265.8,903.78,637.98,645.872,171.93866666666665,544.4,15.0,17.0,2.0,15.340000000000002,0.45333333333333387,15.0,4.0,6.0,2.0,5.0,0.6666666666666666,5.0,120.0,148.0,28.0,135.66666666666666,10.444444444444448,139.0,2.02,2.96,0.94,2.2094,0.23253333333333334,2.02,2.0,2.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,3.34,0.4533333333333333,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222222,0.0,15.0,29.0,14.0,20.006666666666668,5.995555555555556,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6599999999999997,0.4533333333333334,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.6599999999999997,0.4533333333333334,3.0,25.92,32.95,7.030000000000001,30.16706666666667,2.78391111111111,31.56,0.0,1.457,1.457,0.27072,0.36096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,64.33333333333333,67.77777777777777,12.0
4,Cu2.02Cd0.97Sn1.00Se4.00,300.0,173.0,5362.0,2.673,0.000160479,0.018011145,10.1002/adma.200900409,Cu2.02 Cd0.97 Sn1 Se4,29.0,50.0,21.0,36.43804755944931,6.202014094589449,34.0,64.0,89.0,25.0,79.24655819774719,9.954245059139943,89.0,63.546,118.71,55.163999999999994,84.0990725907384,15.537796494679668,78.96,494.0,1357.77,863.77,725.9285106382978,319.47930125422727,494.0,11.0,16.0,5.0,14.0,2.002503128911139,16.0,4.0,5.0,1.0,4.246558197747184,0.3715345057416891,4.0,120.0,144.0,24.0,128.32540675844805,8.335826541625092,120.0,1.69,2.55,0.8599999999999999,2.2074217772215268,0.34300698150535475,2.55,1.0,2.0,1.0,1.7471839799749689,0.3778001600874684,2.0,0.0,4.0,4.0,2.252816020025031,1.7493706933416457,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.002503128911139,16.0,0.0,1.0,1.0,0.2528160200250313,0.37780016008746853,0.0,0.0,4.0,4.0,1.5018773466833542,1.1240583896328482,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.7546933667083853,0.807642845170982,2.0,11.07,33.285,22.214999999999996,22.30745306633292,6.3648897793079895,25.92,0.0,0.799,0.799,0.4,0.3994993742177722,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,105.09136420525658,91.2053709189052,14.0
5,Cu2.05Cd0.95Sn1.00Se4.00,300.0,142.2,10750.0,2.338,0.000217374,0.027892305,10.1002/adma.200900409,Cu2.05 Cd0.95 Sn1 Se4,29.0,50.0,21.0,36.381249999999994,6.164140624999996,34.0,64.0,89.0,25.0,79.2125,9.984374999999998,89.0,63.546,118.71,55.163999999999994,83.95121875,15.448893359374999,78.96,494.0,1357.77,863.77,728.6271875,322.43569140625,494.0,11.0,16.0,5.0,13.993749999999999,2.0078125000000004,16.0,4.0,5.0,1.0,4.24375,0.3686718750000002,4.0,120.0,144.0,24.0,128.3,8.3,120.0,1.69,2.55,0.8599999999999999,2.2075625,0.34243749999999995,2.55,1.0,2.0,1.0,1.74375,0.38117187500000005,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,13.993749999999999,2.0078125000000004,16.0,0.0,1.0,1.0,0.25625,0.381171875,0.0,0.0,4.0,4.0,1.5,1.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.75625,0.8046875,2.0,11.07,33.285,22.214999999999996,22.27234375,6.4008203125,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,105.31875,91.31875,14.0
6,Cu2.10Cd0.90Sn1.00Se4.00,300.0,129.5,20517.0,2.05,0.000344075,0.050352471,10.1002/adma.200900409,Cu2.1 Cd0.9 Sn1 Se4,29.0,50.0,21.0,36.2625,6.075312500000002,34.0,64.0,89.0,25.0,79.175,10.03125,89.0,63.546,118.71,55.163999999999994,83.6458125,15.238214062500006,78.96,494.0,1357.77,863.77,733.399375,327.794578125,494.0,11.0,16.0,5.0,13.9875,2.015625,16.0,4.0,5.0,1.0,4.2375,0.3621874999999999,4.0,120.0,144.0,24.0,128.225,8.225,120.0,1.69,2.55,0.8599999999999999,2.208875,0.34112499999999996,2.55,1.0,2.0,1.0,1.7375,0.3871875,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,13.9875,2.015625,16.0,0.0,1.0,1.0,0.2625,0.3871875,0.0,0.0,4.0,4.0,1.5,1.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.7625,0.796875,2.0,11.07,33.285,22.214999999999996,22.2196875,6.466640625,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,105.5125,91.5125,14.0
7,Cu2.00Cd1.00Sn1.00Se4.00,300.0,235.7,2431.0,2.776,0.000135053,0.014595061,10.1002/adma.200900409,Cu2 Cd1 Sn1 Se4,29.0,50.0,21.0,36.5,6.25,34.0,64.0,89.0,25.0,79.25,9.9375,89.0,63.546,118.71,55.163999999999994,84.25662499999999,15.651937499999995,78.96,494.0,1357.77,863.77,723.855,316.9575,494.0,11.0,16.0,5.0,14.0,2.0,16.0,4.0,5.0,1.0,4.25,0.375,4.0,120.0,144.0,24.0,128.375,8.375,120.0,1.69,2.55,0.8599999999999999,2.20625,0.34374999999999994,2.55,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.25,1.75,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,14.0,2.0,16.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,1.5,1.125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.75,0.8125,2.0,11.07,33.285,22.214999999999996,22.325000000000003,6.334999999999999,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,105.125,91.125,14.0
8,Cu2.00Se1.00,300.0,92.0,99586.0,0.88,0.000842896,0.287350876,10.1002/adma.201302660,Cu2 Se1,29.0,34.0,5.0,30.666666666666668,2.2222222222222228,29.0,64.0,89.0,25.0,72.33333333333333,11.111111111111109,64.0,63.546,78.96,15.413999999999994,68.684,6.8506666666666645,63.546,494.0,1357.77,863.77,1069.8466666666666,383.8977777777778,1357.77,11.0,16.0,5.0,12.666666666666666,2.222222222222222,11.0,4.0,4.0,0.0,4.0,0.0,4.0,120.0,132.0,12.0,128.0,5.333333333333333,132.0,1.9,2.55,0.6499999999999999,2.1166666666666667,0.2888888888888889,1.9,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,5.0,12.666666666666666,2.222222222222222,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,11.07,25.92,14.850000000000001,16.02,6.6000000000000005,11.07,0.0,0.799,0.799,0.26633333333333337,0.3551111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,154.66666666666666,93.77777777777779,225.0
9,Cu2.00Se0.92I0.08,300.0,144.7,15720.0,0.4739,0.000329147,0.208364702,10.1002/adma.201302660,Cu2 Se0.92 I0.08,29.0,53.0,24.0,31.173333333333332,2.8977777777777773,29.0,64.0,96.0,32.0,72.52,11.36,64.0,63.546,126.90447,63.358470000000004,69.96251919999999,8.555358933333329,63.546,386.85,1357.77,970.92,1066.9893333333332,387.70755555555564,1357.77,11.0,17.0,6.0,12.693333333333333,2.257777777777778,11.0,4.0,5.0,1.0,4.026666666666666,0.05191111111111085,4.0,120.0,139.0,19.0,128.50666666666666,5.217422222222225,132.0,1.9,2.66,0.7600000000000002,2.1195999999999997,0.2927999999999999,1.9,1.0,2.0,1.0,1.3333333333333333,0.44444444444444436,1.0,0.0,5.0,5.0,1.36,1.8133333333333332,0.0,10.0,10.0,0.0,10.000000000000002,1.7763568394002505e-15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,6.0,12.693333333333333,2.257777777777778,11.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444444,1.0,0.0,2.0,2.0,0.64,0.8533333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.3066666666666666,0.42524444444444437,1.0,11.07,43.015,31.945,16.47586666666667,7.207822222222224,11.07,0.0,1.062,1.062,0.2733466666666667,0.36446222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,225.0,211.0,156.0,92.0,225.0
